,0,1,2
0,0.28746928746928746,0.2357142857142857,0.2653061224489796
1,0.04914004914004914,0.05714285714285714,0.04081632653061224
2,0.18181818181818182,0.15714285714285714,0.22448979591836735
3,0.23955773955773957,0.24285714285714285,0.10204081632653061
4,0.10442260442260443,0.09285714285714286,0.10204081632653061
5,0.08353808353808354,0.14285714285714285,0.1836734693877551
6,0.013513513513513514,0.007142857142857143,0.02040816326530612
7,0.025798525798525797,0.007142857142857143,0.02040816326530612
8,0.004914004914004914,0.05,0.02040816326530612
9,0.009828009828009828,0.007142857142857143,0.02040816326530612
psi,0.0,0.1817823719629661,0.2425242735696831
