,0,1,2
"(-inf, 942.3]",0.10073710073710074,0.12949640287769784,0.0851063829787234
"(942.3, 1262.0]",0.10196560196560196,0.06474820143884892,0.10638297872340426
"(1262.0, 1458.6]",0.09705159705159705,0.06474820143884892,0.0425531914893617
"(1458.6, 1880.2]",0.10073710073710074,0.1079136690647482,0.0851063829787234
"(1880.2, 2281.5]",0.09950859950859951,0.10071942446043165,0.0851063829787234
"(2281.5, 2834.2]",0.09950859950859951,0.14388489208633093,0.1276595744680851
"(2834.2, 3573.4]",0.10073710073710074,0.09352517985611511,0.0851063829787234
"(3573.4, 4598.4]",0.09950859950859951,0.050359712230215826,0.1276595744680851
"(4598.4, 6918.6]",0.09950859950859951,0.10071942446043165,0.1276595744680851
"(6918.6, inf]",0.10073710073710074,0.14388489208633093,0.1276595744680851
psi,0.0,0.10347713214329587,0.08269471580721267
