,bin,good,bad,inner_good_ratio,inner_bad_ratio,global_good_ratio,global_bad_ratio,woe,iv_bin,iv,age
0,0,142,387,0.2684310018903592,0.7315689981096408,0.6339285714285714,0.6559322033898305,0.03412115038379576,0.0007507892351398164,0.019383408195525555,0
1,1,38,116,0.24675324675324675,0.7532467532467533,0.16964285714285715,0.19661016949152543,0.14752754633525356,0.003978421422055415,0.019383408195525555,0
2,2,37,75,0.33035714285714285,0.6696428571428571,0.16517857142857142,0.1271186440677966,-0.2619062841526394,0.009968134150179905,0.019383408195525555,0
3,3,7,12,0.3684210526315789,0.631578947368421,0.03125,0.020338983050847456,-0.4294799843120384,0.00468606338815042,0.019383408195525555,0
4,0,34,41,0.4533333333333333,0.5466666666666666,0.5964912280701754,0.5,-0.17645643734155653,0.017026498339974747,0.06453228773736897,1
5,1,14,20,0.4117647058823529,0.5882352941176471,0.24561403508771928,0.24390243902439024,-0.006993035490970525,1.1969252017065455e-05,0.06453228773736897,1
6,"2, 3",9,21,0.3,0.7,0.15789473684210525,0.25609756097560976,0.4836298809575007,0.04749382014537716,0.06453228773736897,1
7,0,10,16,0.38461538461538464,0.6153846153846154,0.5263157894736842,0.5714285714285714,0.08223809823697201,0.003709989394149113,0.10016383760978362,2
8,1,4,8,0.3333333333333333,0.6666666666666666,0.21052631578947367,0.2857142857142857,0.3053816495511819,0.022961026282043752,0.10016383760978362,2
9,2,5,4,0.5555555555555556,0.4444444444444444,0.2631578947368421,0.14285714285714285,-0.6109090823229733,0.07349282193359076,0.10016383760978362,2
